Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
address,InnoDB,10,Dynamic,20,819,16384,0,65536,0,21,"2022-05-17 12:36:32",NULL,NULL,utf8_general_ci,NULL,,
amenities,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,"2022-05-17 12:51:56",NULL,NULL,utf8_general_ci,NULL,,
booking,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,"2022-05-17 12:54:58",NULL,NULL,utf8_general_ci,NULL,,
city,InnoDB,10,Dynamic,22,744,16384,0,16384,0,23,"2022-05-17 12:37:07",NULL,NULL,utf8_general_ci,NULL,,
coordintates,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,"2022-05-17 13:32:19",NULL,NULL,utf8_general_ci,NULL,,
country,InnoDB,10,Dynamic,21,780,16384,0,0,0,NULL,"2022-05-08 19:19:03",NULL,NULL,utf8_general_ci,NULL,,
images,InnoDB,10,Dynamic,50,327,16384,0,16384,0,51,"2022-05-17 12:51:18",NULL,NULL,utf8_general_ci,NULL,,
language,InnoDB,10,Dynamic,10,1638,16384,0,0,0,NULL,"2022-05-06 18:07:16",NULL,NULL,utf8_general_ci,NULL,,
messages,InnoDB,10,Dynamic,25,655,16384,0,32768,0,26,"2022-05-17 12:56:23",NULL,NULL,utf8_general_ci,NULL,,
neighborhood,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,"2022-05-17 12:35:35",NULL,NULL,utf8_general_ci,NULL,,
number_guests,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,"2022-05-17 12:51:35",NULL,NULL,utf8_general_ci,NULL,,
payment_method,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,"2022-05-17 13:33:01",NULL,NULL,utf8_general_ci,NULL,,
price,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,"2022-05-17 12:52:25",NULL,NULL,utf8_general_ci,NULL,,
property,InnoDB,10,Dynamic,20,819,16384,0,65536,0,21,"2022-05-17 13:28:12",NULL,NULL,utf8_general_ci,NULL,,
review_rating,InnoDB,10,Dynamic,50,327,16384,0,32768,0,51,"2022-05-17 12:52:51",NULL,NULL,utf8_general_ci,NULL,,
rooms_beds,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,"2022-05-17 13:27:58",NULL,NULL,utf8_general_ci,NULL,,
social_media,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,"2022-05-17 12:54:31",NULL,NULL,utf8_general_ci,NULL,,
type_of_place,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,"2022-05-17 12:54:00",NULL,NULL,utf8_general_ci,NULL,,
user,InnoDB,10,Dynamic,30,546,16384,0,32768,0,31,"2022-05-17 12:53:17",NULL,NULL,utf8_general_ci,NULL,,
wishlist,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,"2022-05-17 12:53:29",NULL,NULL,utf8_general_ci,NULL,,
wishlist_has_property,InnoDB,10,Dynamic,20,819,16384,0,32768,0,NULL,"2022-05-17 12:53:44",NULL,NULL,utf8_general_ci,NULL,,
